,animeID,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score,name,source,producers,genre,studio
0,1,26,FALSE,26,39,795733,43460,405664,8.81,Cowboy Bebop,Original,Bandai Visual,Action,Sunrise
1,5,1,FALSE,164,449,197791,776,120243,8.41,Cowboy Bebop: Tengoku no Tobira,Original,Sunrise,Action,Bones
2,6,26,FALSE,255,146,408548,10432,212537,8.3,Trigun,Manga,Victor Entertainment,Action,Madhouse
3,7,26,FALSE,2371,1171,79397,537,32837,7.33,Witch Hunter Robin,Original,Bandai Visual,Action,Sunrise
4,8,52,FALSE,3544,3704,11708,14,4894,7.03,Bouken Ou Beet,Manga,TV Tokyo,Adventure,Toei Animation
5,16,24,FALSE,419,536,172274,3752,57065,8.12,Hachimitsu to Clover,Manga,Genco,Comedy,J.C.Staff
6,17,52,FALSE,1186,3124,17145,210,9307,7.67,Hungry Heart: Wild Striker,Manga,unknown,Slice of Life,Nippon Animation
7,18,24,FALSE,298,1262,73438,635,42555,8.23,Initial D Fourth Stage,Manga,OB Planning,Action,A.C.G.T.
8,19,74,FALSE,49,156,394387,19188,131233,8.69,Monster,Manga,VAP,Drama,Madhouse
9,20,220,FALSE,705,10,1091313,39356,716412,7.9,Naruto,Manga,TV Tokyo,Action,Studio Pierrot
10,21,0,TRUE,94,36,803871,76869,465454,8.53,One Piece,Manga,Fuji TV,Action,Toei Animation
11,22,178,FALSE,577,856,113662,2885,50306,8,Tennis no Ouji-sama,Manga,Production I.G,Action,Trans Arts
12,23,12,FALSE,5641,6501,2930,18,825,6.54,Ring ni Kakero 1,Manga,unknown,Action,Toei Animation
13,25,24,FALSE,1679,1049,89817,673,36185,7.5,Sunabouzu,Manga,GDH,Action,Gonzo
14,26,22,FALSE,942,690,138500,2864,32198,7.78,Texhnolyze,Original,Group TAC,Action,Madhouse
15,27,24,FALSE,2081,695,137800,1403,61471,7.4,Trinity Blood,Light novel,unknown,Action,Gonzo
16,28,69,FALSE,566,1388,65862,785,27616,8.01,Yakitate!! Japan,Manga,TV Tokyo,Comedy,Sunrise
17,29,26,FALSE,1564,3575,12951,125,4534,7.54,Zipang,Manga,Marvelous,Action,Studio Deen
18,30,26,FALSE,215,50,715531,45828,402215,8.33,Neon Genesis Evangelion,Original,TV Tokyo,Action,Gainax
19,31,1,FALSE,1672,734,130163,413,74480,7.5,Neon Genesis Evangelion: Death & Rebirth,Original,Movic,Drama,Gainax
20,32,1,FALSE,107,212,333046,9558,215979,8.5,Neon Genesis Evangelion: The End of Evangelion,Original,TV Tokyo,Sci-Fi,Gainax
21,33,25,FALSE,124,222,325769,13782,166504,8.47,Kenpuu Denki Berserk,Manga,VAP,Action,OLM
22,43,1,FALSE,209,177,364643,8400,199591,8.34,Ghost in the Shell,Manga,Bandai Visual,Action,Production I.G
23,44,4,FALSE,31,504,180923,4986,94681,8.78,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Manga,Aniplex,Action,Studio Deen
24,45,94,FALSE,182,265,296561,9044,143693,8.39,Rurouni Kenshin: Meiji Kenkaku Romantan,Manga,Aniplex,Action,Studio Gallop
25,46,1,FALSE,1325,1984,38686,97,21576,7.62,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Manga,Fuji TV,Samurai,Studio Gallop
26,47,1,FALSE,356,193,351163,5845,214961,8.17,Akira,Manga,Mainichi Broadcasting System,Action,Tokyo Movie Shinsha
27,48,26,FALSE,3341,704,135481,1229,63557,7.08,.hack//Sign,Original,Bandai Visual,Game,Bee Train
28,50,24,FALSE,1949,824,117198,1035,59169,7.42,Aa! Megami-sama! (TV),Manga,Bandai Visual,Comedy,AIC
29,51,3,FALSE,6216,1933,40458,202,23620,6.4,Tenshi Kinryouku,Manga,Bandai Visual,Action,Hal Film Maker
30,53,24,FALSE,2844,1139,81572,415,40592,7.2,Ai Yori Aoshi,Manga,Movic,Harem,J.C.Staff
31,54,1,FALSE,2935,1517,57811,158,34723,7.18,Appleseed (Movie),Manga,Mainichi Broadcasting System,Action,Digital Frontier
32,55,26,FALSE,5373,3623,12444,16,4474,6.59,Arc the Lad,Game,Sony Pictures Entertainment,Action,Bee Train
33,56,13,FALSE,7805,3427,14237,19,5451,5.96,Avenger,Original,Production I.G,Adventure,Bee Train
